"fips","SCC","Pollutant","Emissions","type","year","county"
"188","04013","223006017X","PM25-PRI",1.33,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"189","04013","220100125T","PM25-PRI",5,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"190","04013","2230074230","PM25-PRI",2.71385,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"191","04013","2201001170","PM25-PRI",0.888968,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"192","04013","223007121X","PM25-PRI",0.32,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"193","04013","220100131X","PM25-PRI",6.66,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"194","04013","223007427X","PM25-PRI",262.33,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"195","04013","223007417B","PM25-PRI",0.05,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"196","04013","220108019X","PM25-PRI",0.0079795324,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"197","04013","220107017B","PM25-PRI",0.03,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"198","04013","223007413X","PM25-PRI",10.74,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"199","04013","223007519X","PM25-PRI",0.11,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"200","04013","223007115T","PM25-PRI",0.02,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"201","04013","220100111X","PM25-PRI",2.26,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"202","04013","223007417X","PM25-PRI",11.04,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"203","04013","2230074330","PM25-PRI",2.23991,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"204","04013","2230071230","PM25-PRI",0.250143,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"205","04013","2230001270","PM25-PRI",0.0194132,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"206","04013","220102013T","PM25-PRI",0.37,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"207","04013","2201070210","PM25-PRI",0.0528415,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"208","04013","223007513B","PM25-PRI",0.02,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"209","04013","220102015T","PM25-PRI",0.17,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"210","04013","223006017B","PM25-PRI",0.02,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"211","04013","2230074110","PM25-PRI",12.364,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"212","04013","220107027B","PM25-PRI",1.62,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"213","04013","2230001290","PM25-PRI",0.00480274,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"214","04013","223007211X","PM25-PRI",1.13,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"215","04013","223000133X","PM25-PRI",1.03,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"216","04013","223007319X","PM25-PRI",0.3,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"217","04013","2201080210","PM25-PRI",0.0155235,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"218","04013","220108029T","PM25-PRI",0.02,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"219","04013","2201020290","PM25-PRI",9.01056,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"220","04013","220107031B","PM25-PRI",0.47,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"221","04013","223006013B","PM25-PRI",0.07,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"222","04013","220100123B","PM25-PRI",10.05,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"223","04013","223006013X","PM25-PRI",1.84,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"224","04013","223007523X","PM25-PRI",10.07,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"225","04013","2230071330","PM25-PRI",0.0779108,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"226","04013","2201080150","PM25-PRI",0.000963547,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"227","04013","223000123T","PM25-PRI",0.01,"ON-ROAD",1999,"Maricopa County (Phoenix)"
